Molecule,ESOL Class,GI absorption,Lipinski #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts
Syringic acid,Very soluble,High,0,0.56,0,0
Apigenin,Soluble,High,0,0.55,0,0
Ascorbic acid,Highly soluble,High,0,0.56,0,0
Vanillic acid,Soluble,High,0,0.85,0,0
Ergometrine,Soluble,High,0,0.55,0,0
Ergometrinine,Soluble,High,0,0.55,0,0
Tricin,Moderately soluble,High,0,0.55,0,0
